jurisdiction_code,jurisdiction_name,due_date_mode,due_date,offset_months,offset_days,offset_years,title,category,notes,source_url,fiscal_year_end,effective_from,effective_to
LI,Liechtenstein,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2024,
LI,Liechtenstein,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2024,
LI,Liechtenstein,relative,,12,0,,GloBE Tax Return,GloBE Tax Return (Standard),Article 5(1) of the GloBE Regulation provides that a combined return for the QDMTT and IIR will be submitted. Article 5(2) of the GloBE Regulation (as amended by the December 2024 amended GloBE Regulation) states that this must be submitted within 12 months of the end of the financial year.,,,01/01/2024,
LI,Liechtenstein,relative,,6,0,,Registration,Registration (Standard),"Article 5(3) of the GloBE Regulation (as inserted by the December 2024 amended GloBE Regulation) provides that domestic constituent entities of an in-scope MNE or domestic group (including excluded entities) must submit a notification to the tax administration within 6 months after the end of the financial year after the group has entered the scope of the GloBE rules in Liechtenstein.

On January 9, 2025, the GloBE Registration form was issued.",https://www.llv.li/servicekonto/steuerverwaltung/int_globe_registration_form.pdf,,01/01/2024,
LU,Luxembourg,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,https://impotsdirects.public.lu/fr/echanges_electroniques/pilier2.html,,01/01/2024,
LU,Luxembourg,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),"Yes, Article 50(4) of the  IIR law - GIR deadline",,,01/01/2024,
LU,Luxembourg,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,https://impotsdirects.public.lu/fr/echanges_electroniques/pilier2.html,,01/01/2024,
LU,Luxembourg,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),"Yes, Article 50(4) of the  IIR law - GIR deadline",,,01/01/2024,
LU,Luxembourg,relative,,15,0,,GloBE Tax Return,GloBE Tax Return (Standard),Article 51 of the Law requires submission of an IIR/UTPR/DMTT self- assessment return (‘GloBE Top-Up Tax Return’). The same filing deadline applies for the GloBE Top-Up Tax Return as for the GloBE Information Return.,https://impotsdirects.public.lu/fr/echanges_electroniques/pilier2.html,,01/01/2024,
LU,Luxembourg,relative,,18,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),Article 51 of the Law requires submission of an IIR/UTPR/DMTT self- assessment return (‘GloBE Top-Up Tax Return’). The same filing deadline applies for the GloBE Top-Up Tax Return as for the GloBE Information Return.,https://impotsdirects.public.lu/fr/echanges_electroniques/pilier2.html,,01/01/2024,
LU,Luxembourg,relative,,16,0,,Payment,Payment (Standard),The top-up tax liabilities must be paid within one month of filing the GloBE Top-Up Tax Return under Section 51(5)(b) of the Law,,,01/01/2024,
LU,Luxembourg,relative,,19,0,,Payment (Transitional),Payment (Transitional),The top-up tax liabilities must be paid within one month of filing the GloBE Top-Up Tax Return under Section 51(5)(b) of the Law.,,,01/01/2024,
LU,Luxembourg,relative,,15,0,,Registration,Registration (Standard),"Section 49 of the Law requires any constituent entity located in Luxembourg to register with the Tax Authority within 15 months of the end of the relevant fiscal year (18 months for the transition year), when it is within the scope of the Pillar Two GloBE Rules.",https://impotsdirects.public.lu/fr/echanges_electroniques/pilier2.html,,01/01/2024,
LU,Luxembourg,relative,,18,0,,Registration (Transitional),Registration (Transitional),"Section 49 of the Law requires any constituent entity located in Luxembourg to register with the Tax Authority within 15 months of the end of the relevant fiscal year (18 months for the transition year), when it is within the scope of the Pillar Two GloBE Rules.",https://impotsdirects.public.lu/fr/echanges_electroniques/pilier2.html,,01/01/2024,
MY,Malaysia,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2025,
MY,Malaysia,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes - s 201(3)/(4) - standard GIR filing date,,,01/01/2025,
MY,Malaysia,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2025,
MY,Malaysia,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes - s 201(3)/(4) - standard GIR filing date,,,01/01/2025,
MY,Malaysia,relative,,14,0,,GloBE Tax Return,GloBE Tax Return (Standard),Article 202 of the Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline for every Constituent Entity of a Multinational Enterprise Group.,,,01/01/2025,
MY,Malaysia,relative,,18,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),Article 202 of the Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline for every Constituent Entity of a Multinational Enterprise Group.,,,01/01/2025,
MY,Malaysia,relative,,15,0,,Payment,Payment (Standard),Article 220 of the law requires payment of top-up tax by the filing deadline.,,,01/01/2025,
MY,Malaysia,relative,,18,0,,Payment (Transitional),Payment (Transitional),Article 220 of the law requires payment of top-up tax by the filing deadline.,,,01/01/2025,
MU,Mauritius,relative,,15,0,,GloBE Tax Return,GloBE Tax Return (Standard),"Section 50W(3) of the law provides that the designated person is required to file the QDMTT tax return not later than 15 months from the end of the fiscal year.

If a designated filing entity is not appointed, each constituent entity is required to file a QDMTT tax return.

The October 29, 2025 Communique announced the opening of the QDMTT notification portal.

The Notification is made online and a username and password is required. This is either via Taxpayer Login or the e-filing centre.

https://eservices3.mra.mu/RegistrationQdmt/loginQDM

https://eservices3.mra.mu/RegistrationQdmt/efilingLogin",https://eservices3.mra.mu/RegistrationQdmt/efilingLogin,,01/01/2025,
MU,Mauritius,relative,,15,0,,Payment,Payment (Standard),"Payment of any QDMTT is required by the deadline for filing the QDMTT return.

Every constituent entity required to file the QDMTT tax return is required to pay the QDMTT based on the following formula:

Total QDMTT amount x (GloBE income of each covered person / Total GloBE income of all covered persons)",,,01/01/2025,
MU,Mauritius,relative,,6,0,,Registration,Registration (Standard),Section 50W(1) of the law provides that in-scope constituent entities is required to notify to the tax authority the designated person resident in Mauritius responsible for filing the QDMTT tax return. This must be provided within 6 months from the end of the fiscal year,,,01/01/2025,
NZ,New Zealand,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2024,
NZ,New Zealand,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes 78I(7) standard GIR filing deadline,,,01/01/2024,
NZ,New Zealand,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2024,
NZ,New Zealand,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes 78I(7) standard GIR filing deadline,,,01/01/2024,
NZ,New Zealand,relative,,16,0,,GloBE Tax Return,GloBE Tax Return (Standard),Section 78J of the Tax Administration Act 1994 provides that a constituent entity subject to the GloBE rules is required to submit a multinational top-up tax return within 16 months after the end of the fiscal year (20 months in the commencement year).,,,01/01/2024,
NZ,New Zealand,relative,,20,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),Section 78J of the Tax Administration Act 1994 provides that a constituent entity subject to the GloBE rules is required to submit a multinational top-up tax return within 16 months after the end of the fiscal year (20 months in the commencement year).,,,01/01/2024,
NZ,New Zealand,relative,,16,0,,Payment,Payment (Standard),A constituent entity is required to pay any multinational top-up tax within 16 months after the end of the fiscal year (20 months in the commencement year).,,,01/01/2024,
NZ,New Zealand,relative,,20,0,,Payment (Transitional),Payment (Transitional),A constituent entity is required to pay any multinational top-up tax within 16 months after the end of the fiscal year (20 months in the commencement year).,,,01/01/2024,
NZ,New Zealand,relative,,6,0,,Registration,Registration (Standard),A new Section 78H in the Tax Administration Act 1994 provides that a constituent entity of an MNE group must apply to the Commissioner for registration of the MNE group within 6 months after the end of any fiscal year ending on or after 1 January 2025 when it is subject to the GloBE rules.,,,01/01/2024,
NM,North Macedonia,relative,,15,0,,DMTT Return,DMTT Return (Standard),Article 49(1) of the Law provides that a QDMTT top-up tax return is required to be submitted by the deadline for filing the GIR.,,,01/01/2024,
NM,North Macedonia,relative,,18,0,,DMTT Return (Transitional),DMTT Return (Transitional),Article 49(1) of the Law provides that a QDMTT top-up tax return is required to be submitted by the deadline for filing the GIR.,,,01/01/2024,
NM,North Macedonia,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2024,
NM,North Macedonia,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes 46(3) standard GIR filing deadline,,,01/01/2024,
NM,North Macedonia,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2024,
NM,North Macedonia,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes 46(3) standard GIR filing deadline,,,01/01/2024,
NM,North Macedonia,relative,,15,30,,GloBE Tax Return,GloBE Tax Return (Standard),Article 48(1) of the Law provides that an IIR/UTPR top-up tax return is required to be submitted within 30 days from the deadline for filing the GIR.,,,01/01/2024,
NM,North Macedonia,relative,,18,30,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),Article 48(1) of the Law provides that an IIR/UTPR top-up tax return is required to be submitted within 30 days from the deadline for filing the GIR.,,,01/01/2024,
NM,North Macedonia,relative,,15,30,,Payment,Payment (Standard),Sections 48(4) and 49(4) of the Law provides that the payment of top-up tax must be made within 30 days from the relevant top-up tax return filing deadline.,,,01/01/2024,
NM,North Macedonia,relative,,18,30,,Payment (Transitional),Payment (Transitional),Sections 48(4) and 49(4) of the Law provides that the payment of top-up tax must be made within 30 days from the relevant top-up tax return filing deadline.,,,01/01/2024,
NO,Norway,relative,,15,0,,GloBE Information Return - Standard,,"Standard Filing

https://www.skatteetaten.no/bedrift-og-organisasjon/rapportering-og-bransjer/suppleringsskatt/veiledning/",https://www.skatteetaten.no/bedrift-og-organisasjon/rapportering-og-bransjer/suppleringsskatt/melding-om-suppleringsskatt-gir/,,01/01/2024,
NO,Norway,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes - Section 8-14(4) - fiing date not provided,,,01/01/2024,
NO,Norway,relative,,18,0,,GloBE Information Return - Transitional,,"Only for Transitional Year Filing

https://www.skatteetaten.no/bedrift-og-organisasjon/rapportering-og-bransjer/suppleringsskatt/veiledning/",https://www.skatteetaten.no/bedrift-og-organisasjon/rapportering-og-bransjer/suppleringsskatt/melding-om-suppleringsskatt-gir/,,01/01/2024,
NO,Norway,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes - Section 8-14(4) - fiing date not provided,,,01/01/2024,
NO,Norway,relative,,16,0,,GloBE Tax Return,GloBE Tax Return (Standard),"Under Section 8-14(1) of the Tax Administration Act, group entities who are liable to pay tax under the Minimum Tax Act are required to also file a top-up tax return . The due date for the top-up tax return is one month after the GIR filing deadline.",https://www.skatteetaten.no/bedrift-og-organisasjon/rapportering-og-bransjer/suppleringsskatt/skattemelding-for-suppleringsskatt/,,01/01/2024,
NO,Norway,relative,,19,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),"Under Section 8-14(1) of the Tax Administration Act, group entities who are liable to pay tax under the Minimum Tax Act are required to also file a top-up tax return . The due date for the top-up tax return is one month after the GIR filing deadline.",https://www.skatteetaten.no/bedrift-og-organisasjon/rapportering-og-bransjer/suppleringsskatt/skattemelding-for-suppleringsskatt/,,01/01/2024,
PL,Poland,relative,,18,0,,DMTT Return,DMTT Return (Standard),"Article 134(1) of the Law requires submission of a DMT self- assessment return (a ‘DMT Top-Up Tax Return’) by the end of the 18th month following the end of the tax year (the 21st month for the first transitional year).

On September 11, 2025, the Polish Ministry of Finance issued the draft Pillar 2 notifications and top-up tax returns (as XSD files) for consultation. The consultation lasts until September 19, 2025. The forms issued include:

QDMTT Top-Up Tax Return- Draft Form GLB-D1P  - https://www.gov.pl/web/finanse/konsultacje-formularze-globe",,,01/01/2024,
PL,Poland,relative,,21,0,,DMTT Return (Transitional),DMTT Return (Transitional),"Article 134(1) of the Law also requires submission of a DMT self- assessment return (a ‘DMT Top-Up Tax Return’) by the end of the 18th month following the end of the tax year (the 21st month for the first transitional year).

On September 11, 2025, the Polish Ministry of Finance issued the draft Pillar 2 notifications and top-up tax returns (as XSD files) for consultation. The consultation lasts until September 19, 2025. The forms issued include:

QDMTT Top-Up Tax Return- Draft Form GLB-D1P  - https://www.gov.pl/web/finanse/konsultacje-formularze-globe",,,01/01/2024,
PL,Poland,relative,,18,0,,Designated Entity Notification,Other Notifications (Standard),"Article 135 provides that if there are at least two CEs of the group, located in Poland, are taxpayers, they may choose one designated entity for tax return filing and payment purposes. The election can be made for a fixed period of no longer than 5 years. years, and can be repeated. Taxpayers wishing to make the election need to file a notification by the top-up tax return filing deadline.

On September 11, 2025, the Polish Ministry of Finance issued the draft Pillar 2 notifications and top-up tax returns (as XSD files) for consultation. The consultation lasts until September 19, 2025. The forms issued include:

Designated Filing Entity Notification - Draft Form GLB-Z3  - https://www.gov.pl/web/finanse/konsultacje-formularze-globe",,,01/01/2024,
PL,Poland,relative,,21,0,,Designated Entity Notification (Transition Year),Other Notifications (Transitional),"Article 135 provides that if there are at least two CEs of the group, located in Poland, are taxpayers, they may choose one designated entity for tax return filing and payment purposes. The election can be made for a fixed period of no longer than 5 years. years, and can be repeated. Taxpayers wishing to make the election need to file a notification by the top-up tax return filing deadline.

On September 11, 2025, the Polish Ministry of Finance issued the draft Pillar 2 notifications and top-up tax returns (as XSD files) for consultation. The consultation lasts until September 19, 2025. The forms issued include:

Designated Filing Entity Notification - Draft Form GLB-Z3  - https://www.gov.pl/web/finanse/konsultacje-formularze-globe",,,01/01/2024,
PL,Poland,relative,,15,0,,GloBE Information Return - Standard,,"Standard Filing

On November 5, 2025, the Polish Ministry of Finance announced a consultation on the draft GIR, including the draft XSD Schema - https://www.gov.pl/web/finanse/konsultacje-podatkowe--projekt-formularza-gir",,,01/01/2024,
PL,Poland,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),"Section 133(4)/(7) of the Polish Minimum Tax Law provides that where a GIR is filed in a foreign jurisdiction by a UPE or designated foreign filing entity and there is a qualified exchange of information agreement in place, the Polish filing entity is required to submit a notification to the Polish tax authority within 15 months following the end of the tax year (18 months in the transition year).",,,01/01/2024,
PL,Poland,relative,,18,0,,GloBE Information Return - Transitional,,"Only for Transitional Year Filing.

On November 5, 2025, the Polish Ministry of Finance announced a consultation on the draft GIR, including the draft XSD Schema - https://www.gov.pl/web/finanse/konsultacje-podatkowe--projekt-formularza-gir",,,01/01/2024,
PL,Poland,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),"Section 133(4)/(7) of the Polish Minimum Tax Law provides that where a GIR is filed in a foreign jurisdiction by a UPE or designated foreign filing entity and there is a qualified exchange of information agreement in place, the Polish filing entity is required to submit a notification to the Polish tax authority within 15 months following the end of the tax year (18 months in the transition year).",,,01/01/2024,
PL,Poland,relative,,18,0,,GloBE Tax Return,GloBE Tax Return (Standard),"Article 134(1) of the Polish Minimum Tax Act requires submission of additional self- assessment returns for the IIR and UTPR by the end of the 18th month following the end of the tax year (the 21st month for the first transitional year).

On September 11, 2025, the Polish Ministry of Finance issued the draft Pillar 2 notifications and top-up tax returns (as XSD files) for consultation. The consultation lasts until September 19, 2025. The forms issued include:

IIR/UTPR Top-Up Tax Return -  Draft Form GLB-I1 for the IIR Return and Form GLB-U1 for the UTPR Form - https://www.gov.pl/web/finanse/konsultacje-formularze-globe",,,01/01/2024,
PL,Poland,relative,,21,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),"Article 134(1) of the Polish Minimum Tax Act requires submission of additional self- assessment returns for the IIR and UTPR by the end of the 18th month following the end of the tax year (the 21st month for the first transitional year).

On September 11, 2025, the Polish Ministry of Finance issued the draft Pillar 2 notifications and top-up tax returns (as XSD files) for consultation. The consultation lasts until September 19, 2025. The forms issued include:

IIR/UTPR Top-Up Tax Return -  Draft Form GLB-I1 for the IIR Return and Form GLB-U1 for the UTPR Form - https://www.gov.pl/web/finanse/konsultacje-formularze-globe",,,01/01/2024,
PL,Poland,relative,,15,0,,Initial Phase of International Activity Notification,Other Notifications (Standard),"Section 129(4) of the Polish Minimum Tax Law provides that an in-scope group is required to notify the Polish tax authorities of the the commencement of the initial phase of international exemption (where applicable) by the end of the 15th month following the end of the tax year (18 months in the transition year).

On September 11, 2025, the Polish Ministry of Finance issued the draft Pillar 2 notifications and top-up tax returns (as XSD files) for consultation. The consultation lasts until September 19, 2025. The forms issued include:

Initial Phase of International Activity Notification - Draft Form GLB-Z1  - https://www.gov.pl/web/finanse/konsultacje-formularze-globe",,,01/01/2024,
PL,Poland,relative,,18,0,,Initial Phase of International Activity Notification,Other Notifications (Transitional),"Section 129(4) of the Polish Minimum Tax Law provides that an in-scope group is required to notify the Polish tax authorities of the the commencement of the initial phase of international exemption (where applicable) by the end of the 15th month following the end of the tax year (18 months in the transition year).



On September 11, 2025, the Polish Ministry of Finance issued the draft Pillar 2 notifications and top-up tax returns (as XSD files) for consultation. The consultation lasts until September 19, 2025. The forms issued include:

Initial Phase of International Activity Notification - Draft Form GLB-Z1  - https://www.gov.pl/web/finanse/konsultacje-formularze-globe",,,01/01/2024,
PL,Poland,relative,,18,0,,Payment,Payment (Standard),"Article 134 of the Law provides that payment of top-up tax must be made by deadline for submitting the top-up tax return.

If the tax due was calculated in a currency other than the Polish złoty (PLN), the amount of tax is converted into PLN based on the average exchange rate announced by the National Bank of Poland on the last business day before the end of the fiscal year.",,,01/01/2024,
PL,Poland,relative,,21,0,,Payment (Transitional),Payment (Transitional),"Article 134 of the Law provides that payment of top-up tax must be made by deadline for submitting the top-up tax return.

If the tax due was calculated in a currency other than the Polish złoty (PLN), the amount of tax is converted into PLN based on the average exchange rate announced by the National Bank of Poland on the last business day before the end of the fiscal year.",,,01/01/2024,
PL,Poland,fixed,30/05/2026,,,,Retrospection election,Other Notifications (Standard),"Article 154 of the Law provides that an MNE group can make an irrevocable election (between March 1, 2026 and May 30, 2026) to apply the IIR and QDMTT provisions to tax years starting after December 31, 2023.The election can be filed by the Polish UPE or by Polish constituent entities (with UPE consent).",,,01/01/2024,
PT,Portugal,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2024,
PT,Portugal,relative,,9,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes - Section 45(1)(a) - by the end of 9 months after the end of the financial year.,,,01/01/2024,
PT,Portugal,relative,,21,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2024,
PT,Portugal,relative,,12,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes - Section 45(1)(a) - by the end of 9 months after the end of the financial year.,,,01/01/2024,
PT,Portugal,relative,,15,0,,GloBE Tax Return,GloBE Tax Return (Standard),"Under Article 45(1)(c) of the law, group entities are required to also file a top-up tax return if they are subject to top-up tax in Portugal. The due date for the top-up tax return is the GIR filing deadline.",,,01/01/2024,
PT,Portugal,relative,,21,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),"Under Article 45(1)(c) of the law, group entities are required to also file a top-up tax return if they are subject to top-up tax in Portugal. The due date for the top-up tax return is the GIR filing deadline.",,,01/01/2024,
PT,Portugal,relative,,9,0,,International Phase of International Activity Notification,Other Notifications (Standard),"Under Article 45(1)(a) of the law, group entities are required to also file a declaration stating the beginning of the initial phase of international activity of the group of multinational enterprises or, in the case of a large national group, the beginning of the first fiscal year in which that large national group came within the scope of this regime. The due date the last day of the ninth month after the end of the tax year (12 months in the transitional year).",,,01/01/2024,
PT,Portugal,relative,,12,0,,International Phase of International Activity Notification,Other Notifications (Transitional),"Under Article 45(1)(a) of the law, group entities are required to also file a declaration stating the beginning of the initial phase of international activity of the group of multinational enterprises or, in the case of a large national group, the beginning of the first fiscal year in which that large national group came within the scope of this regime. The due date the last day of the ninth month after the end of the tax year (12 months in the transitional year).",,,01/01/2024,
PT,Portugal,relative,,15,0,,Payment,Payment (Standard),Article 48 of the law provides that the top-up tax payable is due by the deadline for filing the GloBE tax return.,,,01/01/2024,
PT,Portugal,relative,,18,0,,Payment (Transitional),Payment (Transitional),Article 48 of the law provides that the top-up tax payable is due by the deadline for filing the GloBE tax return.,,,01/01/2024,
PT,Portugal,relative,,9,0,,Registration,Registration (Standard),"Article 46 of the law requires an in-scope group to register with the Portuguese Tax Authority within 9 months after the end of the financial year tax (regardless of whether this period ends on a business day or not), in which:

• The group of which the constituent entity is a member becomes covered by the Portuguese GloBE rules; or,

• There are changes to any of the information in the registration declaration.

On September 2, 2025, Portugal issued Ordinance No. 290/2025/1| which includes the format for the Pillar 2 registration form (Form 62).",https://diariodarepublica.pt/dr/detalhe/portaria/290-2025-933788360,,01/01/2024,
PT,Portugal,relative,,12,0,,Registration (Transitional),Registration (Transitional),"Article 46 of the law requires an in-scope group to register with the Portuguese Tax Authority within 9 months after the end of the financial year tax (regardless of whether this period ends on a business day or not), in which:

• The group of which the constituent entity is a member becomes covered by the Portuguese GloBE rules; or,

• There are changes to any of the information in the registration declaration.

In the transition year, the registration deadline is extended to 12 months after the end of the relevant financial year.

On September 2, 2025, Portugal issued Ordinance No. 290/2025/1| which includes the format for the Pillar 2 registration form (Form 62).",https://diariodarepublica.pt/dr/detalhe/portaria/290-2025-933788360,,01/01/2024,
PT,Portugal,relative,,15,0,,Registration (Transitional),Registration (Transitional),"Article 46 of the law requires an in-scope group to register with the Portuguese Tax Authority within 9 months after the end of the financial year tax (regardless of whether this period ends on a business day or not), in which:

• The group of which the constituent entity is a member becomes covered by the Portuguese GloBE rules; or,

• There are changes to any of the information in the registration declaration.

In the transition year, the registration deadline is extended to 12 months after the end of the relevant financial year.

Note that Order No. 158/2025 XXV issued on December 12, 2025 provides that for constituent entities whose fiscal year ended between December 31, 2024 and March 31, 2025 the filing deadline is the last day of the 15th month following the end of that fiscal year.

On September 2, 2025, Portugal issued Ordinance No. 290/2025/1| which includes the format for the Pillar 2 registration form (Form 62).",https://diariodarepublica.pt/dr/detalhe/portaria/290-2025-933788360,31/12/2024,01/01/2024,
RO,Romania,relative,,15,0,,DMTT Return,DMTT Return (Standard),Article 48(9) requires the filing of a DMT top-up tax return. The same filing deadline applies for the GloBE Top-Up Tax Return as for the GloBE Information Return.,,,01/01/2024,
RO,Romania,relative,,18,0,,DMTT Return (Transitional),DMTT Return (Transitional),Article 48(9) requires the filing of a DMT top-up tax return. The same filing deadline applies for the GloBE Top-Up Tax Return as for the GloBE Information Return.,,,01/01/2024,
RO,Romania,relative,,6,0,,Designated Filing Entity Notification,Other Notifications (Standard),"Article 48(9) provides that the DMT return can be filed by a designated constituent entity.

Article 48(10) provides that if there are several constituent entities in Romania which are part of the same group, payment and filing of the DMT may be made, at the option of the constituent entity submitting the additional national tax return, by a single designated entity. The option must be exercised within 6 months of the last day of the reporting year.

Note that the August 2025 Amendment Law provides that for the first year of application, the option can be submitted within 12 months from the last day of the reporting year.

On August 11, 2025, Romania issued form N408 to nominate a designated filing/payment entity for QDMTT purposes.",https://static.anaf.ro/static/10/Anaf/Declaratii_R/408.html,,01/01/2024,
RO,Romania,relative,,12,0,,Designated Filing Entity Notification (Transitional Year),Other Notifications (Transitional),"Article 48(9) provides that the DMT return can be filed by a designated constituent entity.

Article 48(10) provides that if there are several constituent entities in Romania which are part of the same group, payment and filing of the DMT may be made, at the option of the constituent entity submitting the additional national tax return, by a single designated entity. The option must be exercised within 6 months of the last day of the reporting year.

Note that the August 2025 Amendment Law provides that for the first year of application, the option can be submitted within 12 months from the last day of the reporting year.

On August 11, 2025, Romania issued form N408 to nominate a designated filing/payment entity for QDMTT purposes.",https://static.anaf.ro/static/10/Anaf/Declaratii_R/408.html,,01/01/2024,
RO,Romania,relative,,15,0,,GloBE Information Return - Standard,,"Standard Filing

On February 24, 2026, Romania issued Order no. 218 of February 16, 2026, to approve the model of the GIR and double filing relief notification.",https://legislatie.just.ro/Public/DetaliiDocument/307543,,01/01/2024,
RO,Romania,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes - 48(4) - same filing,,,01/01/2024,
RO,Romania,relative,,18,0,,GloBE Information Return - Transitional,,"Only for Transitional Year Filing

On February 24, 2026, Romania issued Order no. 218 of February 16, 2026, to approve the model of the GIR and double filing relief notification.",https://legislatie.just.ro/Public/DetaliiDocument/307543,,01/01/2024,
RO,Romania,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes - 48(4) - same filing,,,01/01/2024,
RO,Romania,relative,,15,0,,GloBE Tax Return,GloBE Tax Return (Standard),Article 48(8) of the Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline if there is a top-up tax liability.,,,01/01/2024,
RO,Romania,relative,,18,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),Article 48(8) of the Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline if there is a top-up tax liability.,,,01/01/2024,
RO,Romania,relative,,15,0,,Payment,Payment (Standard),Article 48(8) of the Law requires payment of top-up tax by the GIR filing deadline.,,,01/01/2024,
RO,Romania,relative,,18,0,,Payment (Transitional),Payment (Transitional),Article 48(8) of the Law requires payment of top-up tax by the GIR filing deadline.,,,01/01/2024,
SG,Singapore,relative,,15,0,,DMTT Return,DMTT Return (Standard),Section 43 of the law states that the designated local DTT filing entity of a registered MNEgroup must furnish to the Comptroller either (1) if there is no DTT payable in respect of the MNE group for that financial year — a return stating that fact; or (2) if there is DTT payable in respect of the MNE group for that financial year — a return stating the amount of the DTT.The same filing deadline applies for the DMT Return as for the GloBE Information Return.,,,01/01/2025,
SG,Singapore,relative,,18,0,,DMTT Return (Transitional),DMTT Return (Transitional),Section 43 of the law states that the designated local DTT filing entity of a registered MNEgroup must furnish to the Comptroller either (1) if there is no DTT payable in respect of the MNE group for that financial year — a return stating that fact; or (2) if there is DTT payable in respect of the MNE group for that financial year — a return stating the amount of the DTT.The same filing deadline applies for the DMT Return as for the GloBE Information Return.,,,01/01/2025,
SG,Singapore,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2025,
SG,Singapore,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes - Section 40(3) - same filing,,,01/01/2025,
SG,Singapore,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2025,
SG,Singapore,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes - Section 40(3) - same filing,,,01/01/2025,
SG,Singapore,relative,,15,0,,GloBE Tax Return,GloBE Tax Return (Standard),Section 41 of the law states that every responsible member of a registered MNE group located in Singapore subject to the MTT must submit either (1) if the responsible member is not chargeable with MTT for that financial year — a return stating that fact; or (2)if the responsible member is chargeable with MTT for that financial year – a return stating the amount of top‑up tax for that financial year in respect of each relevant entity (referred to as an ‘MTT Return’). The same filing deadline applies for the MTT Return as for the GloBE Information Return.,,,01/01/2025,
SG,Singapore,relative,,18,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),Section 41 of the law states that every responsible member of a registered MNE group located in Singapore subject to the MTT must submit either (1) if the responsible member is not chargeable with MTT for that financial year — a return stating that fact; or (2)if the responsible member is chargeable with MTT for that financial year – a return stating the amount of top‑up tax for that financial year in respect of each relevant entity (referred to as an ‘MTT Return’). The same filing deadline applies for the MTT Return as for the GloBE Information Return.,,,01/01/2025,
SG,Singapore,relative,,16,0,,Payment,Payment (Standard),Sections 42 and 44 of the law provide that any MTT or DTT must be paid within 1 month of the MTT/DTT return filing deadline. The payment must be made in Singapore dollars.,,,01/01/2025,
SG,Singapore,relative,,19,0,,Payment (Transitional),Payment (Transitional),Sections 42 and 44 of the law provide that any MTT or DTT must be paid within 1 month of the MTT/DTT return filing deadline. The payment must be made in Singapore dollars.,,,01/01/2025,
