jurisdiction_code,jurisdiction_name,due_date_mode,due_date,offset_months,offset_days,offset_years,title,category,notes,source_url,fiscal_year_end,effective_from,effective_to
BE,Belgium,relative,,18,0,,GloBE Information Return - Transitional,GloBE Information Return (Transitional),Only for Transitional Year Filing,,,01/01/2024,
BE,Belgium,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes (Article 54) - same filing deadline as the GIR,,,01/01/2024,
BE,Belgium,relative,,15,0,,GloBE Return (Standard),GloBE Tax Return (Standard),Article 57/1 of the GloBE Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline. Note that the October 2025 Draft Law provides in Articles 27/1 that if there are a number of entities in the group subject to the UTPR the tax due will be determined via a “joint assessment notice” for all Belgian entities.,,,01/01/2024,
BE,Belgium,fixed,30/09/2026,,,,GloBE Return (Transitional),GloBE Tax Return (Transitional),"Article 57/1 of the GloBE Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline. Note that the October 2025 Draft Law provides in Articles 27/1 that if there are a number of entities in the group subject to the UTPR the tax due will be determined via a “joint assessment notice” for all Belgian entities.
On April 3, 2026, Belgium announced a further extension for filing IIR and QDMTT returns to September 30, 2026.",,31/12/2024,01/01/2024,
BE,Belgium,relative_fy_start,,,30,,Registration,Registration,The notification of a group of MNEs or a large national group must be made no later than 30 days after the beginning of the tax year for which the group of MNEs or the large national group falls within the scope of the Law of 19 December 2023.,https://financien.belgium.be/nl/E-services/pillar-2/aanmelden-inschrijving-kbo,,01/01/2024,
BZ,Brazil,relative,,6,0,,Inclusion in DCTFWeb,Payment (Standard),"Article 73 of the Normative Instruction provides that the QDMTT must be paid by the Constituent Entities by the last business day of the seventh month following the end of the Fiscal Year. RFB 2.319/2026 of April 6, 2026 provides that this should be included in DCTFWeb for the sixth month following the end of the jurisdiction’s fiscal year. For a 31 December year-end, for example, the tax goes into the June DCTFWeb and that return is due at the end of July, which matches the seventh-month payment rule.The RFB currently identifies DARF code 1809 for payment of the QDMTT.",,,01/01/2024,
BZ,Brazil,relative,,7,0,,Payment,Payment (Standard),Article 73 of the Normative Instruction provides that the QDMTT must be paid by the Constituent Entities by the last business day of the seventh month following the end of the Fiscal Year.,,,01/01/2025,
BG,Bulgaria,relative,,15,0,,DMTT Return (Standard),DMTT Return (Standard),The 2025 Budget Law additionally requires the submission of a QDMTT return by the GIR filing deadline.,https://nra.bg/wps/portal/nra/taxes/dopalnitelen_danak/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAwLcHT3cLQwMAkwsHA3MnPyC_EJCQ518TIz0w1EVWPr4GBsEBngbu3iHuBq4upvqRxGj3wAHcDQgTj8eBVH4jQ_Xj0K1As0HweYEFIC8SMiSgtzQ0AiDTE8AzpJdMw%21%21/?1dmy=&urile=wcm%3Apath%3A%2Fagency%2Fsite%2Fdocuments%2Ftaxes%2Fzkpo%2Fd3d2fda4-3952-4aec-b55b-6278bb5d47eb,,01/01/2024,
BG,Bulgaria,relative,,18,0,,DMTT Return (Transitional Year),DMTT Return (Transitional),The 2025 Budget Law additionally requires the submission of a QDMTT return by the GIR filing deadline.,https://nra.bg/wps/portal/nra/taxes/dopalnitelen_danak/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAwLcHT3cLQwMAkwsHA3MnPyC_EJCQ518TIz0w1EVWPr4GBsEBngbu3iHuBq4upvqRxGj3wAHcDQgTj8eBVH4jQ_Xj0K1As0HweYEFIC8SMiSgtzQ0AiDTE8AzpJdMw%21%21/?1dmy=&urile=wcm%3Apath%3A%2Fagency%2Fsite%2Fdocuments%2Ftaxes%2Fzkpo%2Fd3d2fda4-3952-4aec-b55b-6278bb5d47eb,,01/01/2024,
BG,Bulgaria,relative,,15,0,,GloBE Information Return - Standard,GloBE Information Return (Standard),Standard Filing,https://nra.bg/wps/wcm/connect/nra.bg25863/809ce19d-4d7d-44a7-a571-8f40c5c5806a/%D0%A3%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5%2B%D0%B7%D0%B0%2B%D0%B8%D0%B7%D0%B3%D0%BE%D1%82%D0%B2%D1%8F%D0%BD%D0%B5%2B%D0%BD%D0%B0%2B%D0%BE%D1%82%D1%87%D0%B5%D1%82%D0%BD%D0%B8%2B%D1%84%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B5.pdf?CACHEID=ROOTWORKSPACE.Z18_PPGAHG8009LJC0QTR5C2HH30I6-809ce19d-4d7d-44a7-a571-8f40c5c5806a-pOb15Yy&CONVERT_TO=url&MOD=AJPERES,,01/01/2024,
BG,Bulgaria,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes (Ch.34k) - same filing deadline as the GIR,,,01/01/2024,
BG,Bulgaria,relative,,18,0,,GloBE Information Return - Transitional,GloBE Information Return (Transitional),Only for Transitional Year Filing,https://nra.bg/wps/wcm/connect/nra.bg25863/809ce19d-4d7d-44a7-a571-8f40c5c5806a/%D0%A3%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5%2B%D0%B7%D0%B0%2B%D0%B8%D0%B7%D0%B3%D0%BE%D1%82%D0%B2%D1%8F%D0%BD%D0%B5%2B%D0%BD%D0%B0%2B%D0%BE%D1%82%D1%87%D0%B5%D1%82%D0%BD%D0%B8%2B%D1%84%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B5.pdf?CACHEID=ROOTWORKSPACE.Z18_PPGAHG8009LJC0QTR5C2HH30I6-809ce19d-4d7d-44a7-a571-8f40c5c5806a-pOb15Yy&CONVERT_TO=url&MOD=AJPERES,,01/01/2024,
BG,Bulgaria,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes (Ch.34k) - same filing deadline as the GIR,,,01/01/2024,
BG,Bulgaria,relative,,15,0,,GloBE Tax Return (Standard),GloBE Tax Return (Standard),Article 260z(23) of the GloBE Law also requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline.,https://nra.bg/wps/portal/nra/taxes/dopalnitelen_danak/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAwLcHT3cLQwMAkwsHA3MnPyC_EJCQ518TIz0w1EVWPr4GBsEBngbu3iHuBq4upvqRxGj3wAHcDQgTj8eBVH4jQ_Xj0K1As0HweYEFIC8SMiSgtzQ0AiDTE8AzpJdMw%21%21/?1dmy=&urile=wcm%3Apath%3A%2Fagency%2Fsite%2Fdocuments%2Ftaxes%2Fzkpo%2Fd3d2fda4-3952-4aec-b55b-6278bb5d47eb,,01/01/2024,
BG,Bulgaria,relative,,18,0,,GloBE Tax Return (Transitional Year),GloBE Tax Return (Transitional),Article 260z(23) of the GloBE Law also requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline.,https://nra.bg/wps/portal/nra/taxes/dopalnitelen_danak/%21ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAwLcHT3cLQwMAkwsHA3MnPyC_EJCQ518TIz0w1EVWPr4GBsEBngbu3iHuBq4upvqRxGj3wAHcDQgTj8eBVH4jQ_Xj0K1As0HweYEFIC8SMiSgtzQ0AiDTE8AzpJdMw%21%21/?1dmy=&urile=wcm%3Apath%3A%2Fagency%2Fsite%2Fdocuments%2Ftaxes%2Fzkpo%2Fd3d2fda4-3952-4aec-b55b-6278bb5d47eb,,01/01/2024,
CA,Canada,relative,,15,0,,DMTT Return (Standard),DMTT Return (Standard),"Article 61(2) of the Law requires submission of a DMT self- assessment return (a ‘DMT Top-Up Tax Return’) by the GIR filing deadline. This is only required where a person is liable to pay DMT tax.

Registration is also required to file Pillar 2 returns. This can be done online for Residents or Non-Residents (https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/business-registration/business-number-program-account/how-register/resident.html or https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/gst-hst-businesses/digital-economy-gsthst/terms-conditions.html)",,,01/01/2024,
CA,Canada,relative,,18,0,,DMTT Return (Transitional Year),DMTT Return (Transitional),"Article 61(2) of the Law requires submission of a DMT self- assessment return (a ‘DMT Top-Up Tax Return’) by the GIR filing deadline. This is only required where a person is liable to pay DMT tax.

Registration is also required to file Pillar 2 returns. This can be done online for Residents or Non-Residents (https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/business-registration/business-number-program-account/how-register/resident.html or https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/gst-hst-businesses/digital-economy-gsthst/terms-conditions.html)",,,01/01/2024,
CA,Canada,relative,,15,0,,GloBE Information Return - Standard,GloBE Information Return (Standard),"Standard Filing.

Registration is also required to file Pillar 2 returns. This can be done online for Residents or Non-Residents (https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/business-registration/business-number-program-account/how-register/resident.html or https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/gst-hst-businesses/digital-economy-gsthst/terms-conditions.html)",,,01/01/2024,
CA,Canada,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes (Article 60(4) - same filing deadline as the GIR,,,01/01/2024,
CA,Canada,relative,,18,0,,GloBE Information Return - Transitional,GloBE Information Return (Transitional),"Only for Transitional Year Filing.

Registration is also required to file Pillar 2 returns. This can be done online for Residents or Non-Residents (https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/business-registration/business-number-program-account/how-register/resident.html or https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/gst-hst-businesses/digital-economy-gsthst/terms-conditions.html)",,,01/01/2024,
CA,Canada,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes (Article 60(4) - same filing deadline as the GIR,,,01/01/2024,
CA,Canada,relative,,15,0,,GloBE Tax Return (Standard),GloBE Tax Return (Standard),"Article 61(1) of the Law requires submission of an IIR/UTPR self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline. This is only required where a person is liable to pay IIR/UTPR tax.

Registration is also required to file Pillar 2 returns. This can be done online for Residents or Non-Residents (https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/business-registration/business-number-program-account/how-register/resident.html or https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/gst-hst-businesses/digital-economy-gsthst/terms-conditions.html)",,,01/01/2024,
CA,Canada,relative,,18,0,,GloBE Tax Return (Transitional Year),GloBE Tax Return (Transitional),"Article 61(1) of the Law requires submission of an IIR/UTPR self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline. This is only required where a person is liable to pay IIR/UTPR tax.

Registration is also required to file Pillar 2 returns. This can be done online for Residents or Non-Residents (https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/business-registration/business-number-program-account/how-register/resident.html or https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/gst-hst-businesses/digital-economy-gsthst/terms-conditions.html)",,,01/01/2024,
CA,Canada,relative,,15,0,,Payment (Standard),Payment (Standard),The top-up tax liabilities must be paid by the filing date for the GloBE Information Return and the GloBE Top-Up Tax Return under Section 64 of the law,,,01/01/2024,
CA,Canada,relative,,18,0,,Payment (Transitional),Payment (Transitional),The top-up tax liabilities must be paid by the filing date for the GloBE Information Return and the GloBE Top-Up Tax Return under Section 64 of the law,,,01/01/2024,
CR,Croatia,relative,,15,0,,DMTT Return (Standard),DMTT Return (Standard),"Entities subject to the QDMTT are required to submit a QDMTT return by the GIR filing deadline, under Article 49 of the Law.",,,01/01/2024,
